DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.45643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.33241,-1.1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.19144,-0.76018,-0.86807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.14625,-0.30411,-0.68622,-0.85051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-1.08139,-0.74484,-0.78963,-1.11231,-1.20116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.15152,-0.79572,-0.66005,-0.75576,-1.03842,-1.12628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.85475,1.65218,0.69646,0.31694,0.07902,-0.25321,-0.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.39142,1.02821,0.93513,0.27211,0.04842,-0.13582,-0.45628,-0.55494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.04991,-0.23454,0.74741,0.71836,0.21027,0.02945,-0.13899,-0.43543,-0.52863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.48326,0.24228,-0.0327,0.78597,0.76108,0.34624,0.142,-0.05444,-0.34771,-0.43948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.9837,-0.64249,-0.576,-0.66023,0.17206,0.20088,-0.1514,-0.27136,-0.40984,-0.65961,-0.75562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.29942,-2.25997,-1.06145,-0.94425,-0.9737,-0.18408,-0.13078,-0.46112,-0.49162,-0.58836,-0.80947,-0.90415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.12929,-1.00333,-1.6283,-1.01127,-0.94711,-0.99502,-0.2698,-0.20911,-0.55293,-0.55529,-0.64599,-0.85173,-0.94026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.17432,-0.33418,-0.93457,-1.42994,-0.97951,-0.93292,-0.99875,-0.3183,-0.25939,-0.56936,-0.57545,-0.65478,-0.84954,-0.94251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.81803,0.41215,0.19629,-0.36522,-0.8391,-0.58763,-0.57847,-0.69376,-0.07069,-0.02643,-0.33315,-0.34329,-0.43657,-0.6391,-0.74136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.70833,1.70257,1.42404,1.23672,0.78922,0.24329,0.34712,0.34577,0.24957,0.68827,0.71342,0.46517,0.3932,0.28537,0.07749,-0.05026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.47211,1.54983,1.65958,1.46069,1.29147,0.86055,0.33756,0.44073,0.44181,0.37591,0.77117,0.78665,0.56973,0.4697,0.365,0.14685,0.01588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.10338,0.46724,1.56562,1.76649,1.52433,1.30601,0.85214,0.34393,0.46207,0.4708,0.40852,0.79083,0.80726,0.59566,0.49278,0.38109,0.16366,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.07397,0.05866,0.37535,1.38343,1.56224,1.34642,1.16336,0.76933,0.31239,0.42732,0.44624,0.38472,0.76099,0.77964,0.56747,0.49299,0.38165,0.17795,0.04837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.05778,-0.05877,1e-04,0.21679,1.23327,1.42586,1.27458,1.07957,0.67484,0.25182,0.37599,0.39019,0.34518,0.72055,0.75266,0.53167,0.47833,0.35959,0.16514,0.03936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.49854,-0.23433,-0.24535,-0.17433,-0.01232,0.97525,1.13963,0.99161,0.84253,0.50289,0.14055,0.26391,0.28154,0.24328,0.61639,0.65192,0.4252,0.38823,0.27934,0.09485,-0.02364,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.93095,0.22314,0.18425,0.08587,0.12929,0.29592,1.13423,1.33505,1.21015,1.04077,0.66853,0.28532,0.39312,0.40297,0.36251,0.69751,0.72929,0.51726,0.47528,0.35927,0.19018,0.07993,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.0762,1.12908,0.84876,0.69852,0.57309,0.56092,0.67655,1.2349,1.37597,1.30289,1.19548,0.87172,0.4598,0.54462,0.54663,0.50172,0.81307,0.84208,0.64189,0.59182,0.48875,0.32892,0.2168,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.85726,1.61585,1.56247,1.42352,1.29689,1.21619,1.18868,1.24234,1.59317,1.73115,1.70499,1.63171,1.38663,0.94153,0.97975,0.96881,0.90884,1.15763,1.17541,0.99975,0.92471,0.84148,0.70936,0.61428,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.43607,1.26826,1.27966,1.28407,1.14388,1.05311,0.97787,0.96634,1.03354,1.47752,1.62399,1.5562,1.47728,1.24198,0.79482,0.84666,0.8452,0.7834,1.03896,1.05818,0.88179,0.81972,0.72471,0.58682,0.48778,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.38154,-0.5353,1.01801,1.12341,1.15738,1.03012,0.96709,0.90341,0.89667,0.95425,1.36694,1.4802,1.40843,1.34753,1.15162,0.76856,0.81794,0.8173,0.75215,0.99668,1.01395,0.84345,0.78659,0.69601,0.56318,0.46616,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.15012,0.16846,-0.34425,0.87216,1.02754,1.09156,0.97271,0.94981,0.89641,0.89908,0.94885,1.35601,1.45151,1.37406,1.31153,1.12967,0.78239,0.82322,0.82846,0.77593,1.00547,1.01752,0.8551,0.80084,0.71568,0.58068,0.48237,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.65627,1.39082,1.26369,0.86275,1.53119,1.47604,1.49824,1.42525,1.41212,1.3601,1.36153,1.38413,1.64139,1.73039,1.69117,1.65076,1.5293,1.19082,1.21383,1.20839,1.14964,1.3316,1.33976,1.21046,1.14498,1.07508,0.96344,0.88622,,,,,,,,,,,,,,,,,,,,
May1952,1.46477,1.87531,1.77511,1.68563,1.35927,1.8227,1.70727,1.69979,1.62978,1.60964,1.56494,1.56562,1.58592,1.78767,1.87507,1.85173,1.82374,1.73292,1.39448,1.40962,1.39676,1.32918,1.49253,1.49756,1.38527,1.32,1.26004,1.16395,1.10001,,,,,,,,,,,,,,,,,,,
Jun1952,-1.51278,0.61122,1.58064,1.51362,1.4102,0.99477,1.6271,1.54035,1.5563,1.49215,1.48525,1.43845,1.43751,1.46938,1.69783,1.78289,1.75674,1.71543,1.61571,1.27611,1.29617,1.286,1.22224,1.39983,1.40764,1.28981,1.22848,1.15776,1.05439,0.98039,,,,,,,,,,,,,,,,,,
Jul1952,0.87079,-0.26766,0.91401,1.61956,1.57118,1.47828,1.11198,1.65823,1.56703,1.58898,1.53084,1.52553,1.48489,1.48766,1.51507,1.72008,1.80419,1.77724,1.74199,1.66029,1.3455,1.36273,1.35147,1.28628,1.45681,1.46462,1.35314,1.29826,1.23487,1.13635,1.07169,,,,,,,,,,,,,,,,,
Aug1952,0.91259,1.05537,0.31275,1.08505,1.75162,1.74392,1.75431,1.32079,1.8088,1.67316,1.67379,1.61872,1.60351,1.57788,1.58808,1.60424,1.78635,1.86853,1.84169,1.80871,1.7291,1.43362,1.44858,1.43171,1.36891,1.52704,1.537,1.43632,1.38785,1.33006,1.24192,1.18609,,,,,,,,,,,,,,,,
Sep1952,-0.20454,0.4902,0.67582,0.16248,0.82565,1.5315,1.50139,1.50214,1.13437,1.62941,1.53798,1.55903,1.5105,1.50259,1.48196,1.49601,1.50887,1.7045,1.77673,1.74788,1.71768,1.63791,1.37347,1.39126,1.38001,1.32752,1.48642,1.49777,1.39796,1.35613,1.2964,1.20926,1.15109,,,,,,,,,,,,,,,
Oct1952,-0.98966,-0.82748,-0.03055,0.23612,-0.17643,0.49144,1.2404,1.21931,1.21577,0.87339,1.45421,1.40282,1.44689,1.39174,1.38364,1.3521,1.36525,1.38451,1.61517,1.69287,1.65781,1.62265,1.53039,1.25414,1.27778,1.27071,1.21984,1.39457,1.41247,1.30386,1.2577,1.1934,1.10063,1.03464,,,,,,,,,,,,,,
Nov1952,-1.55046,-1.6412,-1.40304,-0.56678,-0.2413,-0.58091,0.04232,0.74445,0.66961,0.6401,0.39714,1.01956,1.10923,1.2021,1.13073,1.13277,1.09304,1.11236,1.14541,1.4441,1.51377,1.47723,1.44556,1.32909,1.04272,1.07223,1.06879,1.02105,1.22431,1.24831,1.12737,1.0772,1.00999,0.90783,0.83317,,,,,,,,,,,,,
Dec1952,-1.66134,-2.2089,-1.93034,-1.66736,-0.95935,-0.61608,-0.91008,-0.32504,0.43829,0.36567,0.33374,0.11178,0.69292,0.84883,0.95845,0.88109,0.88889,0.84677,0.86568,0.90522,1.25435,1.31894,1.28269,1.23395,1.11541,0.84908,0.88494,0.88071,0.84005,1.05271,1.07935,0.95693,0.90473,0.84021,0.73243,0.65188,,,,,,,,,,,,
Jan1953,-1.30957,-1.68955,-2.02597,-1.91633,-1.78625,-1.18409,-0.84678,-1.10937,-0.58584,0.25324,0.18907,0.15406,-0.06969,0.51389,0.7077,0.83181,0.76038,0.76945,0.72523,0.74474,0.7914,1.17075,1.22644,1.18103,1.12555,1.00389,0.75358,0.79419,0.79295,0.7599,0.98273,1.01182,0.8857,0.82511,0.75942,0.64487,0.55664,,,,,,,,,,,
Feb1953,-1.38165,-1.64775,-1.75024,-2.05446,-1.97965,-1.87388,-1.35583,-1.01666,-1.25839,-0.75147,0.05455,0.01035,-0.00811,-0.21605,0.31066,0.5282,0.65446,0.58596,0.59522,0.55477,0.5737,0.6212,1.02,1.07396,1.02827,0.96949,0.84252,0.60352,0.64981,0.64709,0.61279,0.84603,0.87823,0.74878,0.68419,0.61745,0.49684,0.40266,,,,,,,,,,
Mar1953,-1.55009,-1.80032,-1.93722,-2.07146,-2.3278,-2.30933,-2.20972,-1.83743,-1.46284,-1.71211,-1.17678,-0.29123,-0.30829,-0.30759,-0.51131,0.03078,0.28132,0.40751,0.34511,0.3711,0.34041,0.35465,0.40516,0.82666,0.87993,0.82178,0.75674,0.6215,0.38935,0.43748,0.43256,0.4018,0.64379,0.67222,0.54062,0.47931,0.41522,0.29109,0.19027,,,,,,,,,
Apr1953,0.17915,-0.76266,-1.11614,-1.35079,-1.65078,-1.85023,-2.0099,-2.07659,-1.79309,-1.41476,-1.72184,-1.13776,-0.22665,-0.24315,-0.25518,-0.4673,0.09456,0.32802,0.44864,0.38073,0.40905,0.3771,0.38931,0.44254,0.8528,0.90263,0.84459,0.78271,0.66701,0.43094,0.47387,0.46777,0.43564,0.67043,0.69613,0.56858,0.50306,0.44053,0.3206,0.22752,,,,,,,,
May1953,0.03075,0.1245,-0.69197,-1.03327,-1.25614,-1.57758,-1.80133,-2.00872,-2.08468,-1.89604,-1.44659,-1.74414,-1.19084,-0.2416,-0.25422,-0.27581,-0.48418,0.07029,0.30339,0.42866,0.36627,0.39683,0.36618,0.38122,0.43025,0.84479,0.89555,0.84209,0.77948,0.66646,0.42619,0.47168,0.46521,0.43381,0.67072,0.697,0.57477,0.50953,0.44491,0.32278,0.23177,,,,,,,
Jun1953,0.53839,0.29891,0.24607,-0.5744,-0.89128,-1.10888,-1.38747,-1.61864,-1.86195,-1.97519,-1.77915,-1.33273,-1.6339,-1.08281,-0.15428,-0.17643,-0.2026,-0.41037,0.13451,0.36036,0.48016,0.42128,0.4452,0.41193,0.43046,0.48333,0.89233,0.93944,0.8879,0.82599,0.71176,0.46328,0.50696,0.49981,0.46879,0.70953,0.73624,0.61107,0.54659,0.48323,0.35921,0.26887,,,,,,
Jul1953,-1.17344,-0.57759,-0.42571,-0.24838,-0.86929,-1.10552,-1.28115,-1.50403,-1.70527,-1.95247,-2.11023,-1.95995,-1.5416,-1.83341,-1.30537,-0.37097,-0.37894,-0.39393,-0.59015,-0.04724,0.19019,0.31434,0.25056,0.27481,0.24798,0.26969,0.33738,0.77114,0.81897,0.75848,0.69233,0.57464,0.32378,0.36933,0.36233,0.32827,0.57728,0.59944,0.46831,0.40497,0.3422,0.21556,0.12554,,,,,
Aug1953,-0.65081,-1.12596,-0.78796,-0.7051,-0.52154,-0.99922,-1.20869,-1.3493,-1.5172,-1.71073,-1.95093,-2.07542,-2.02831,-1.64888,-1.96208,-1.45139,-0.54507,-0.53234,-0.53994,-0.72226,-0.17059,0.07789,0.21065,0.15231,0.17638,0.15715,0.17749,0.25012,0.70241,0.7503,0.68597,0.61517,0.49789,0.24882,0.29532,0.29325,0.25721,0.51518,0.53472,0.39577,0.33141,0.27371,0.14583,0.05322,,,,
Sep1953,-1.02454,-0.95164,-1.21589,-0.94898,-0.92439,-0.74398,-1.12929,-1.30493,-1.43094,-1.58536,-1.76908,-2.00304,-2.14931,-2.14915,-1.79049,-2.12947,-1.56924,-0.70503,-0.67503,-0.67952,-0.85583,-0.31022,-0.05766,0.07867,0.02287,0.04935,0.03172,0.04943,0.13231,0.59481,0.64973,0.58008,0.50398,0.3877,0.14312,0.1894,0.1897,0.15026,0.41017,0.42573,0.27897,0.21014,0.15448,0.02577,-0.07055,,,
Oct1953,-0.4811,-1.00014,-1.02633,-1.23217,-0.99863,-0.9934,-0.82483,-1.19267,-1.36128,-1.48304,-1.61814,-1.79094,-2.00302,-2.09902,-2.05775,-1.71935,-1.99105,-1.53271,-0.76739,-0.73535,-0.73888,-0.89878,-0.39559,-0.14898,-0.01355,-0.07221,-0.0485,-0.05918,-0.0382,0.03638,0.49743,0.56424,0.49571,0.41864,0.30169,0.06242,0.10965,0.10873,0.06947,0.32728,0.34108,0.19553,0.12934,0.07609,-0.05478,-0.14879,,
Nov1953,-0.40271,-0.52271,-1.04993,-1.13695,-1.35224,-1.10756,-1.09751,-0.89221,-1.22381,-1.38363,-1.51347,-1.63672,-1.77699,-1.93846,-1.98743,-1.93525,-1.68038,-1.89113,-1.54046,-0.89713,-0.85351,-0.85978,-1.00531,-0.54854,-0.29976,-0.16819,-0.22569,-0.20249,-0.21118,-0.19185,-0.12089,0.34118,0.4172,0.35269,0.27349,0.14966,-0.08402,-0.03072,-0.02988,-0.07698,0.18817,0.19799,0.05083,-0.01659,-0.06744,-0.20455,-0.30111,
Dec1953,-0.25494,-0.53573,-0.5911,-0.99927,-1.12063,-1.34157,-1.15153,-1.14393,-0.92521,-1.23851,-1.40027,-1.52807,-1.66009,-1.78516,-1.90961,-1.94149,-1.86619,-1.63115,-1.80778,-1.4925,-0.92313,-0.88284,-0.89493,-1.02251,-0.5903,-0.35169,-0.22315,-0.28421,-0.26399,-0.27481,-0.25636,-0.18821,0.25768,0.3389,0.27783,0.20305,0.08395,-0.13546,-0.08566,-0.08439,-0.13009,0.12208,0.13123,-0.00939,-0.08283,-0.12696,-0.25749,-0.34999
Jan1954,-0.72688,-0.74111,-0.81552,-0.80102,-1.12861,-1.23842,-1.43529,-1.26367,-1.25423,-1.06289,-1.35092,-1.48568,-1.59343,-1.70051,-1.82911,-1.94204,-1.97426,-1.90934,-1.67741,-1.84198,-1.54488,-0.99202,-0.94107,-0.9493,-1.07051,-0.66024,-0.42641,-0.30051,-0.35889,-0.34115,-0.34926,-0.33076,-0.25901,0.19111,0.27492,0.21372,0.13588,0.01524,-0.19627,-0.14538,-0.14834,-0.19664,0.05266,0.06289,-0.0774,-0.15083,-0.19251,-0.32149
Feb1954,-1.02542,-1.14789,-1.02264,-1.01746,-0.97815,-1.24923,-1.36009,-1.53775,-1.36844,-1.35082,-1.16159,-1.43764,-1.57918,-1.6909,-1.78339,-1.91895,-2.02629,-2.05747,-1.96885,-1.73581,-1.88951,-1.5996,-1.08109,-1.02409,-1.03485,-1.14651,-0.75926,-0.53815,-0.41774,-0.47596,-0.46477,-0.47515,-0.45878,-0.39328,0.04921,0.13517,0.07359,-0.00468,-0.12954,-0.33141,-0.28024,-0.27935,-0.32273,-0.07347,-0.0632,-0.20298,-0.27637,-0.31206
Mar1954,-1.13138,-1.37638,-1.44501,-1.38983,-1.3592,-1.31141,-1.5291,-1.70453,-1.86043,-1.70515,-1.65579,-1.4955,-1.74422,-1.8865,-1.9692,-2.02755,-2.1722,-2.2647,-2.32837,-2.29242,-2.00737,-2.15743,-1.8214,-1.27347,-1.19384,-1.19229,-1.29607,-0.91491,-0.69793,-0.58312,-0.63858,-0.62826,-0.63046,-0.6174,-0.5511,-0.10823,-0.01695,-0.07867,-0.15856,-0.2851,-0.47462,-0.42069,-0.41848,-0.46624,-0.22203,-0.21327,-0.36128,-0.42263
Apr1954,0.06283,-0.63311,-0.93271,-1.10917,-1.16137,-1.16325,-1.19667,-1.46306,-1.71034,-1.89512,-1.76697,-1.7251,-1.5291,-1.81308,-1.99269,-2.06533,-2.12439,-2.27308,-2.36625,-2.3942,-2.37961,-2.06305,-2.21707,-1.88249,-1.2981,-1.20886,-1.2041,-1.3146,-0.91486,-0.68452,-0.568,-0.62625,-0.6225,-0.62874,-0.61704,-0.54176,-0.10203,-0.00926,-0.0676,-0.14174,-0.26683,-0.45893,-0.40243,-0.39657,-0.44129,-0.1923,-0.17997,-0.32158
May1954,0.82954,0.48976,-0.16776,-0.50582,-0.73417,-0.80714,-0.86488,-0.9162,-1.17574,-1.46244,-1.65696,-1.50568,-1.53391,-1.2904,-1.60969,-1.74914,-1.82291,-1.94621,-2.09192,-2.19491,-2.24209,-2.20756,-1.91558,-2.08208,-1.74056,-1.16183,-1.08973,-1.09481,-1.21568,-0.80309,-0.57339,-0.45302,-0.5146,-0.50643,-0.5188,-0.50804,-0.42675,0.01754,0.10553,0.04789,-0.02462,-0.15702,-0.35692,-0.30063,-0.29974,-0.34365,-0.09701,-0.0842
Jun1954,0.1277,0.78859,0.47965,-0.18537,-0.50634,-0.69311,-0.76284,-0.80814,-0.86347,-1.13597,-1.43175,-1.61896,-1.47082,-1.50717,-1.26426,-1.57082,-1.71797,-1.78623,-1.91355,-2.06296,-2.15462,-2.215,-2.1545,-1.87314,-2.05184,-1.73093,-1.15357,-1.07708,-1.08383,-1.20351,-0.7956,-0.5707,-0.45189,-0.51388,-0.50717,-0.51841,-0.50809,-0.42436,0.01986,0.10871,0.04986,-0.02277,-0.15593,-0.35671,-0.30071,-0.30001,-0.34235,-0.09005
Jul1954,0.81069,0.6423,1.00822,0.66691,0.06185,-0.22807,-0.41352,-0.47846,-0.54304,-0.59533,-0.83499,-1.06556,-1.29415,-1.17108,-1.1803,-1.01211,-1.3462,-1.52295,-1.60844,-1.77825,-1.91831,-2.00509,-2.03938,-1.94776,-1.70284,-1.88094,-1.59908,-1.02538,-0.96575,-0.97357,-1.1055,-0.6905,-0.47416,-0.35928,-0.42107,-0.4117,-0.42568,-0.41585,-0.33422,0.10365,0.19293,0.1366,0.06935,-0.06574,-0.26165,-0.20414,-0.20473,-0.24685
Aug1954,0.50958,0.71895,0.6631,0.96097,0.69557,0.15575,-0.15321,-0.31233,-0.36961,-0.43527,-0.47422,-0.68881,-0.88354,-1.11907,-1.02812,-1.02185,-0.88395,-1.20735,-1.39529,-1.49261,-1.71427,-1.86434,-1.97003,-2.01745,-1.90964,-1.67019,-1.86102,-1.56924,-0.96644,-0.90854,-0.91862,-1.06012,-0.62663,-0.40349,-0.28566,-0.34776,-0.33674,-0.351,-0.34096,-0.26085,0.1811,0.27649,0.22188,0.15647,0.00768,-0.19146,-0.13117,-0.13155
Sep1954,0.69652,0.65954,0.78271,0.7444,1.0035,0.79263,0.30429,0.01224,-0.14759,-0.20753,-0.27385,-0.30678,-0.49863,-0.65619,-0.90473,-0.81781,-0.80246,-0.68258,-1.02445,-1.22506,-1.35335,-1.58644,-1.75178,-1.86723,-1.92513,-1.81976,-1.58195,-1.77316,-1.48186,-0.85938,-0.81189,-0.82608,-0.97602,-0.52635,-0.3058,-0.1906,-0.25137,-0.23923,-0.25877,-0.25112,-0.17703,0.25145,0.34638,0.29261,0.22706,0.07273,-0.12652,-0.06318
Oct1954,-0.77807,-0.09842,0.21802,0.40835,0.42155,0.71783,0.55837,0.07419,-0.19488,-0.33086,-0.38345,-0.42068,-0.45661,-0.6451,-0.79683,-1.00502,-0.9252,-0.90978,-0.79845,-1.08898,-1.26505,-1.38124,-1.57738,-1.72199,-1.83234,-1.87274,-1.78257,-1.58797,-1.78015,-1.50461,-0.94019,-0.89002,-0.90529,-1.04173,-0.62069,-0.40868,-0.29543,-0.35438,-0.34456,-0.36025,-0.35422,-0.28254,0.13935,0.23571,0.17777,0.11184,-0.0402,-0.22585
Nov1954,-1.06129,-1.16064,-0.56116,-0.22259,0.00557,0.04456,0.32686,0.21438,-0.19081,-0.42867,-0.56364,-0.65463,-0.68726,-0.73162,-0.89382,-1.03281,-1.18784,-1.12581,-1.11173,-1.01411,-1.24071,-1.39039,-1.48381,-1.64792,-1.78872,-1.8777,-1.91175,-1.8476,-1.6848,-1.86458,-1.62153,-1.11217,-1.05899,-1.07751,-1.20144,-0.82457,-0.61746,-0.50087,-0.55731,-0.55551,-0.563,-0.55811,-0.48944,-0.06928,0.03303,-0.03207,-0.10417,-0.25695
Dec1954,0.16959,-0.64656,-0.8137,-0.47344,-0.23414,-0.03678,0.00326,0.26499,0.19189,-0.1722,-0.39035,-0.53045,-0.63803,-0.6841,-0.72873,-0.87092,-0.98552,-1.12869,-1.06688,-1.05473,-0.96989,-1.18366,-1.32852,-1.41737,-1.57571,-1.7104,-1.80153,-1.81561,-1.75109,-1.60427,-1.77556,-1.55131,-1.07398,-1.03182,-1.04951,-1.17164,-0.8012,-0.60251,-0.49194,-0.54643,-0.54368,-0.55514,-0.55046,-0.48453,-0.09002,0.01207,-0.04938,-0.11795
Jan1955,0.73433,0.32089,-0.30963,-0.50707,-0.27341,-0.09759,0.07264,0.11148,0.32299,0.29046,-0.07187,-0.28859,-0.43379,-0.55952,-0.58987,-0.6364,-0.77963,-0.88288,-1.02657,-0.96156,-0.95189,-0.87098,-1.08638,-1.22857,-1.32299,-1.48531,-1.61472,-1.70048,-1.7153,-1.64501,-1.5067,-1.66933,-1.45472,-0.98742,-0.95218,-0.96749,-1.09146,-0.72087,-0.52421,-0.41525,-0.4742,-0.4701,-0.48592,-0.48077,-0.41655,-0.03053,0.07163,0.01233
Feb1955,0.88287,0.82812,0.49928,-0.00455,-0.2133,-0.04338,0.08335,0.23567,0.26352,0.44672,0.4044,0.0862,-0.1073,-0.25416,-0.40236,-0.45734,-0.51014,-0.65371,-0.7499,-0.89667,-0.83119,-0.82603,-0.75032,-0.97389,-1.11851,-1.21814,-1.37248,-1.5008,-1.5885,-1.59922,-1.52067,-1.398,-1.55367,-1.34854,-0.90758,-0.88405,-0.89849,-1.02172,-0.66375,-0.47583,-0.37057,-0.42512,-0.41372,-0.43019,-0.42477,-0.36271,0.0105,0.1124
Mar1955,-1.03837,-0.29733,-0.0058,-0.11218,-0.44874,-0.58868,-0.39783,-0.24057,-0.0502,-0.0103,0.18414,0.20085,-0.11517,-0.29767,-0.44143,-0.56989,-0.61418,-0.67004,-0.81953,-0.93183,-1.07578,-1.00331,-0.9903,-0.91481,-1.12865,-1.26398,-1.35561,-1.50449,-1.62927,-1.7134,-1.71497,-1.65233,-1.52344,-1.67142,-1.47482,-1.03984,-1.01252,-1.02706,-1.14192,-0.79728,-0.60516,-0.49815,-0.55073,-0.5439,-0.55842,-0.55403,-0.50533,-0.13413
Apr1955,-0.24869,-0.80825,-0.45408,-0.2928,-0.29262,-0.56042,-0.68631,-0.50612,-0.35115,-0.14631,-0.10307,0.11044,0.1263,-0.18396,-0.3798,-0.52642,-0.63393,-0.68508,-0.74126,-0.88989,-1.01382,-1.15791,-1.08008,-1.07865,-0.99916,-1.20711,-1.34129,-1.43307,-1.59938,-1.71156,-1.78973,-1.78819,-1.7303,-1.58693,-1.73094,-1.5383,-1.09194,-1.06003,-1.07354,-1.18993,-0.84295,-0.64715,-0.53666,-0.58646,-0.57722,-0.58694,-0.57978,-0.52465
May1955,-0.77042,-0.64873,-1.08078,-0.79593,-0.63009,-0.58878,-0.81603,-0.93981,-0.75338,-0.59659,-0.36641,-0.32701,-0.08306,-0.06571,-0.37492,-0.57344,-0.70778,-0.80545,-0.8544,-0.90564,-1.04831,-1.18326,-1.3142,-1.23473,-1.23309,-1.15894,-1.34425,-1.48175,-1.56062,-1.72521,-1.83036,-1.90905,-1.90362,-1.85946,-1.70659,-1.85164,-1.68961,-1.22729,-1.18958,-1.20322,-1.32134,-0.97028,-0.76965,-0.6588,-0.71107,-0.70304,-0.7062,-0.69989
Jun1955,-0.09946,-0.66518,-0.65084,-1.06919,-0.81606,-0.64169,-0.60579,-0.8021,-0.92851,-0.75328,-0.59917,-0.37128,-0.32769,-0.0829,-0.06757,-0.38043,-0.5809,-0.71039,-0.81077,-0.85888,-0.90966,-1.05237,-1.18286,-1.31159,-1.24005,-1.24583,-1.17432,-1.35026,-1.4881,-1.56314,-1.72889,-1.82075,-1.89255,-1.88578,-1.84666,-1.70266,-1.8419,-1.68339,-1.23591,-1.20226,-1.21391,-1.33044,-0.98455,-0.78593,-0.6765,-0.72896,-0.72028,-0.71967
Jul1955,-0.5517,-0.47056,-0.8579,-0.78314,-1.09911,-0.89543,-0.74295,-0.69366,-0.85994,-0.98692,-0.83788,-0.70573,-0.47994,-0.43964,-0.2083,-0.16249,-0.46734,-0.65812,-0.77999,-0.88123,-0.93269,-0.98061,-1.11875,-1.24758,-1.36738,-1.30203,-1.32325,-1.26141,-1.42623,-1.55134,-1.62398,-1.78915,-1.8726,-1.94044,-1.93074,-1.89579,-1.74773,-1.87085,-1.71712,-1.28941,-1.25479,-1.26317,-1.38155,-1.04786,-0.84793,-0.74098,-0.79586,-0.7882
Aug1955,1.63245,0.9229,0.76446,0.26589,-0.0077,-0.45121,-0.31464,-0.17116,-0.1519,-0.35266,-0.44692,-0.30161,-0.14754,-0.00097,0.03587,0.22974,0.25439,-0.04698,-0.23093,-0.37226,-0.48045,-0.56269,-0.62009,-0.75749,-0.87437,-1.0322,-0.96354,-0.98451,-0.92854,-1.15149,-1.30027,-1.40259,-1.58747,-1.70028,-1.77679,-1.78515,-1.72919,-1.58203,-1.71786,-1.51402,-1.05864,-1.03625,-1.04289,-1.18178,-0.80615,-0.59278,-0.47684,-0.53432
