DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Nov1992,-0.02281,0.5222,0.5032,0.70455,0.70889,0.8237,0.59666,0.54546,0.13188,-0.02389,-0.16756,-0.23158,-0.2603,-0.1651,-0.33163,-0.15455,-0.04463,0.09714,0.03394,-0.19104,-0.06964,-0.15809,-0.04712,-0.08047,-0.09947,-0.16471,-0.24234,-0.26039,-0.29377,-0.46965,-0.52446,-0.32059,-0.2056,0.02848,0.02426,0.28915,0.2275,0.3003,0.35264,0.27271,0.52105,0.47442,0.53197,0.58829,0.72122,0.86081,0.79524,0.73867
Dec1992,0.37018,0.08618,0.44654,0.43004,0.62481,0.64728,0.77043,0.5634,0.53392,0.16615,0.02916,-0.11588,-0.19479,-0.24127,-0.16064,-0.3121,-0.14415,-0.04616,0.08205,0.02042,-0.19316,-0.07833,-0.16433,-0.05456,-0.07045,-0.08605,-0.14432,-0.22457,-0.24189,-0.27784,-0.4427,-0.49385,-0.30301,-0.1923,0.03521,0.03418,0.28757,0.23145,0.29901,0.3492,0.2733,0.50762,0.4631,0.51925,0.56678,0.6967,0.83289,0.77145
Jan1993,1.53751,1.10562,0.68004,0.83254,0.8388,0.97395,0.99575,1.09043,0.88907,0.86885,0.53721,0.40134,0.24604,0.14334,0.07446,0.14403,-0.00646,0.15724,0.24089,0.36095,0.30228,0.08235,0.17454,0.09576,0.19565,0.17925,0.15087,0.08963,0.01196,-0.00094,-0.04082,-0.19654,-0.23971,-0.06066,0.03745,0.26307,0.26149,0.50532,0.44461,0.50768,0.55287,0.47755,0.70071,0.6621,0.71335,0.76404,0.89525,1.03902
Feb1993,1.32004,1.5632,1.30183,0.9241,1.0111,1.01887,1.13107,1.14598,1.21552,1.04917,1.01934,0.75505,0.64707,0.51057,0.40576,0.30213,0.35622,0.21306,0.35125,0.42013,0.52834,0.46679,0.2558,0.3364,0.26252,0.35432,0.33631,0.29827,0.23862,0.16033,0.1464,0.10163,-0.04406,-0.08616,0.07495,0.16401,0.38757,0.38841,0.62361,0.56164,0.62427,0.66919,0.59532,0.81525,0.78026,0.82678,0.8789,1.00544
Mar1993,-1.0692,0.14912,0.86155,0.72853,0.50302,0.67685,0.69862,0.87361,0.90597,1.00092,0.81969,0.83742,0.56285,0.45922,0.31832,0.21853,0.13939,0.18899,0.05096,0.20001,0.27836,0.38174,0.32045,0.11055,0.19833,0.11617,0.20193,0.17667,0.14352,0.08081,0.00066,-0.00967,-0.04987,-0.19976,-0.23864,-0.07419,0.01996,0.24337,0.23958,0.47238,0.41959,0.4851,0.53022,0.45268,0.66674,0.62978,0.67654,0.72025
Apr1993,-1.20938,-1.44045,-0.75782,-0.05748,-0.01437,-0.07758,0.19486,0.25638,0.48399,0.54401,0.66986,0.48668,0.53773,0.24598,0.13847,-0.00901,-0.08787,-0.14342,-0.08664,-0.2348,-0.07657,0.01801,0.12781,0.06985,-0.14423,-0.03738,-0.12331,-0.03585,-0.04359,-0.07009,-0.13565,-0.21703,-0.2376,-0.27958,-0.43714,-0.47072,-0.30027,-0.19692,0.02991,0.03052,0.26884,0.22269,0.29273,0.34372,0.26948,0.48667,0.44952,0.50363
May1993,0.28787,-0.76676,-1.18142,-0.6164,-0.01531,0.04963,-0.02353,0.24552,0.30825,0.55188,0.59411,0.70674,0.5497,0.57244,0.28719,0.16528,0.01523,-0.05723,-0.1209,-0.06194,-0.20131,-0.0418,0.05132,0.16293,0.09907,-0.12085,-0.01495,-0.09579,-0.00719,-0.01393,-0.04314,-0.10602,-0.18918,-0.20853,-0.25351,-0.41516,-0.44637,-0.2711,-0.16997,0.06235,0.06637,0.30186,0.25003,0.32118,0.36781,0.29038,0.50934,0.47222
Jun1993,-0.13371,0.19782,-0.76549,-1.16282,-0.66517,-0.06336,-0.00708,-0.04669,0.23598,0.30492,0.55089,0.58651,0.70152,0.54733,0.56919,0.27595,0.15361,0.00411,-0.07016,-0.13103,-0.07445,-0.21059,-0.05576,0.03603,0.15164,0.0911,-0.13302,-0.02671,-0.10814,-0.0192,-0.02885,-0.06363,-0.12789,-0.21187,-0.23271,-0.27559,-0.43779,-0.46669,-0.29152,-0.19038,0.04325,0.04763,0.28639,0.23435,0.30692,0.35485,0.2779,0.50358
Jul1993,-1.02615,-0.79103,-0.429,-1.03341,-1.2835,-0.88786,-0.3669,-0.2812,-0.27891,-0.00233,0.07398,0.32035,0.37812,0.50221,0.336,0.40266,0.10337,-0.0114,-0.15673,-0.22671,-0.28401,-0.22602,-0.36585,-0.21637,-0.11509,0.00356,-0.04571,-0.27167,-0.15716,-0.24568,-0.15496,-0.16465,-0.1964,-0.26223,-0.34359,-0.36922,-0.40823,-0.57106,-0.60591,-0.42619,-0.32038,-0.08632,-0.08018,0.15744,0.11765,0.19607,0.24604,0.16755
Aug1993,-1.27654,-1.38215,-1.20659,-0.97404,-1.30999,-1.4612,-1.17713,-0.75927,-0.65548,-0.61649,-0.34565,-0.28151,-0.02128,0.05293,0.20024,0.01834,0.13599,-0.17423,-0.2817,-0.41384,-0.47043,-0.51518,-0.44929,-0.58729,-0.43934,-0.31989,-0.19833,-0.25097,-0.49095,-0.34904,-0.44038,-0.34211,-0.35712,-0.37659,-0.44241,-0.5221,-0.5566,-0.58851,-0.75802,-0.80186,-0.61065,-0.49186,-0.24864,-0.24282,-0.00989,-0.0394,0.04395,0.09528
